,loss,f10,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/edge_embed_size,config/eta,config/learning_rate,config/max_depth,config/node_embed_size,config/weight,logdir
179,0.3880333875482147,0.7422750983763406,2612.156271457672,True,False,,,1,0397c_00003,0b987d6d522b4b5c96b2cfe6e53bb7a9,2022-12-10_12-53-13,1670687593,2612.156271457672,1209,arch,192.168.1.113,2612.156271457672,0,1,0.0036487579345703,10,0.126299573974497,0.0001026895676188772,8,10,0.8853975292639489,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00003_3_edge_embed_size=10,eta=0.1263,learning_rate=0.0001,max_depth=8,node_embed_size=10,weight=0.8854_2022-12-09_20-46-30"
180,0.5161918778677245,0.4952542061231965,1912.0345532894132,True,False,,,1,0397c_00020,976383d86b5947c08b976715885635fe,2022-12-10_12-21-37,1670685697,1912.0345532894132,1242,arch,192.168.1.113,1912.0345532894132,0,1,0.0040030479431152,7,0.10939157873270577,3.180125384236914e-05,9,4,0.886891662643208,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00020_20_edge_embed_size=7,eta=0.1094,learning_rate=0.0000,max_depth=9,node_embed_size=4,weight=0.8869_2022-12-09_21-18-44"
181,0.5284097365430884,0.5400902961966997,2289.1241352558136,True,False,,,1,0397c_00010,0b987d6d522b4b5c96b2cfe6e53bb7a9,2022-12-10_12-09-41,1670684981,2289.1241352558136,1209,arch,192.168.1.113,2289.1241352558136,0,1,0.0036487579345703,12,0.04679629264208844,2.2606364149056334e-05,9,6,0.8948090421902705,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00010_10_edge_embed_size=12,eta=0.0468,learning_rate=0.0000,max_depth=9,node_embed_size=6,weight=0.8948_2022-12-09_21-18-37"
182,0.4790404266602284,0.1543307086614173,2138.4281301498413,True,False,,,1,0397c_00019,976383d86b5947c08b976715885635fe,2022-12-10_11-49-44,1670683784,2138.4281301498413,1242,arch,192.168.1.113,2138.4281301498413,0,1,0.0040030479431152,11,0.1402994616094061,0.00045608494108193216,5,3,0.8661481326715442,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00019_19_edge_embed_size=11,eta=0.1403,learning_rate=0.0005,max_depth=5,node_embed_size=3,weight=0.8661_2022-12-09_21-18-43"
183,0.4089458569481566,0.4543041691133294,2632.925956249237,True,False,,,1,0397c_00004,0b987d6d522b4b5c96b2cfe6e53bb7a9,2022-12-10_11-31-32,1670682692,2632.925956249237,1209,arch,192.168.1.113,2632.925956249237,0,1,0.0036487579345703,8,0.014163513195061494,0.0002656209760728963,5,11,0.8297018357107688,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00004_4_edge_embed_size=8,eta=0.0142,learning_rate=0.0003,max_depth=5,node_embed_size=11,weight=0.8297_2022-12-09_21-17-10"
184,0.3734383761077314,0.7599526559897946,2269.032121658325,True,False,,,1,0397c_00017,976383d86b5947c08b976715885635fe,2022-12-10_11-14-06,1670681646,2269.032121658325,1242,arch,192.168.1.113,2269.032121658325,0,1,0.0040030479431152,13,0.0661828137701157,0.0001501437027824865,6,5,0.8826368006697833,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00017_17_edge_embed_size=13,eta=0.0662,learning_rate=0.0002,max_depth=6,node_embed_size=5,weight=0.8826_2022-12-09_21-18-40"
185,0.3973853170871735,0.7375559469348226,2623.5242249965668,True,False,,,1,0397c_00014,0b987d6d522b4b5c96b2cfe6e53bb7a9,2022-12-10_10-47-39,1670680059,2623.5242249965668,1209,arch,192.168.1.113,2623.5242249965668,0,1,0.0036487579345703,15,0.055760427280767674,7.811461890804571e-05,6,8,0.8884471597697894,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00014_14_edge_embed_size=15,eta=0.0558,learning_rate=0.0001,max_depth=6,node_embed_size=8,weight=0.8884_2022-12-09_21-18-38"
186,0.4621986840222332,0.6958189647728076,2115.425346136093,True,False,,,1,0397c_00018,976383d86b5947c08b976715885635fe,2022-12-10_10-36-17,1670679377,2115.425346136093,1242,arch,192.168.1.113,2115.425346136093,0,1,0.0040030479431152,11,0.17627306192521372,5.081261465795577e-05,6,3,0.8962459571970982,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00018_18_edge_embed_size=11,eta=0.1763,learning_rate=0.0001,max_depth=6,node_embed_size=3,weight=0.8962_2022-12-09_21-18-42"
187,0.4501146943988027,0.4980808568069542,2166.9286770820618,True,False,,,1,0397c_00016,0b987d6d522b4b5c96b2cfe6e53bb7a9,2022-12-10_10-03-55,1670677435,2166.9286770820618,1209,arch,192.168.1.113,2166.9286770820618,0,1,0.0036487579345703,12,0.03192857978244483,4.738009874077586e-05,9,3,0.8025550941849693,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00016_16_edge_embed_size=12,eta=0.0319,learning_rate=0.0000,max_depth=9,node_embed_size=3,weight=0.8026_2022-12-09_21-18-41"
188,0.4248926706410743,0.5528566069343785,2647.111156463623,True,False,,,1,0397c_00006,976383d86b5947c08b976715885635fe,2022-12-10_10-01-02,1670677262,2647.111156463623,1242,arch,192.168.1.113,2647.111156463623,0,1,0.0040030479431152,12,0.042509729950392754,5.238253955063672e-05,3,10,0.8201743226264966,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00006_6_edge_embed_size=12,eta=0.0425,learning_rate=0.0001,max_depth=3,node_embed_size=10,weight=0.8202_2022-12-09_21-18-39"
189,0.4566136996488313,0.140759493670886,2933.990162372589,True,False,,,1,0397c_00013,0b987d6d522b4b5c96b2cfe6e53bb7a9,2022-12-10_09-27-48,1670675268,2933.990162372589,1209,arch,192.168.1.113,2933.990162372589,0,1,0.0036487579345703,15,0.19015691487955205,0.0008102929671455625,5,10,0.835662428112276,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00013_13_edge_embed_size=15,eta=0.1902,learning_rate=0.0008,max_depth=5,node_embed_size=10,weight=0.8357_2022-12-09_21-18-33"
190,0.3848969294412716,0.6001595251527031,2274.634407043457,True,False,,,1,0397c_00015,976383d86b5947c08b976715885635fe,2022-12-10_09-16-54,1670674614,2274.634407043457,1242,arch,192.168.1.113,2274.634407043457,0,1,0.0040030479431152,7,0.10900533259750413,0.0009418144005390928,6,7,0.8379210566941638,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00015_15_edge_embed_size=7,eta=0.1090,learning_rate=0.0009,max_depth=6,node_embed_size=7,weight=0.8379_2022-12-09_21-18-35"
191,0.4218600794270232,0.682881926695062,2441.765367746353,True,False,,,1,0397c_00009,f3ca05c132674ecda4d32d1f3cebe270,2022-12-09_23-15-25,1670638525,2441.765367746353,6145,arch,192.168.1.113,2441.765367746353,0,1,0.0041000843048095,6,0.1741194334527378,8.487731897124298e-05,9,11,0.87765591849971,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00009_9_edge_embed_size=6,eta=0.1741,learning_rate=0.0001,max_depth=9,node_embed_size=11,weight=0.8777_2022-12-09_21-18-32"
192,0.3795477491778296,0.7443683049336591,2687.475155115128,True,False,,,1,0397c_00012,ead89fe7ea294bcdaadd092e096a6d60,2022-12-09_23-11-41,1670638301,2687.475155115128,6109,arch,192.168.1.113,2687.475155115128,0,1,0.0053353309631347,14,0.17758119359979913,0.00010913309919143648,8,8,0.8706542005873918,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00012_12_edge_embed_size=14,eta=0.1776,learning_rate=0.0001,max_depth=8,node_embed_size=8,weight=0.8707_2022-12-09_21-18-31"
193,0.5014108893839089,0.24602459805606,2206.6321892738342,True,False,,,1,0397c_00011,f3ca05c132674ecda4d32d1f3cebe270,2022-12-09_22-34-43,1670636083,2206.6321892738342,6145,arch,192.168.1.113,2206.6321892738342,0,1,0.0041000843048095,5,0.18312772530170263,1.028717142967176e-05,7,8,0.8067144370736955,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00011_11_edge_embed_size=5,eta=0.1831,learning_rate=0.0000,max_depth=7,node_embed_size=8,weight=0.8067_2022-12-09_21-18-30"
194,0.4206321050991883,0.4509287949188326,2083.746042728424,True,False,,,1,0397c_00005,ead89fe7ea294bcdaadd092e096a6d60,2022-12-09_22-26-54,1670635614,2083.746042728424,6109,arch,192.168.1.113,2083.746042728424,0,1,0.0053353309631347,8,0.013776520512758747,0.00035316365172527827,4,3,0.8596745308978596,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00005_5_edge_embed_size=8,eta=0.0138,learning_rate=0.0004,max_depth=4,node_embed_size=3,weight=0.8597_2022-12-09_21-18-29"
195,0.520553423826759,0.0375619971343546,2340.895780801773,True,False,,,1,0397c_00007,f3ca05c132674ecda4d32d1f3cebe270,2022-12-09_21-57-56,1670633876,2340.895780801773,6145,arch,192.168.1.113,2340.895780801773,0,1,0.0041000843048095,5,0.014303861840006257,1.0430281018731609e-05,4,10,0.8613029694509786,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00007_7_edge_embed_size=5,eta=0.0143,learning_rate=0.0000,max_depth=4,node_embed_size=10,weight=0.8613_2022-12-09_21-18-29"
196,0.3853717083061063,0.7244193497513118,2000.225962638855,True,False,,,1,0397c_00008,ead89fe7ea294bcdaadd092e096a6d60,2022-12-09_21-52-10,1670633530,2000.225962638855,6109,arch,192.168.1.113,2000.225962638855,0,1,0.0053353309631347,4,0.054685416214467625,0.00020738278128401506,9,6,0.8889520063946146,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00008_8_edge_embed_size=4,eta=0.0547,learning_rate=0.0002,max_depth=9,node_embed_size=6,weight=0.8890_2022-12-09_21-18-26"
197,0.39769590013736,0.7266355432947003,2236.920538187027,True,False,,,1,0397c_00002,36357aee17a94a0a9e492257044186ec,2022-12-09_21-17-10,1670631430,2236.920538187027,2363,arch,192.168.1.113,2236.920538187027,0,1,0.0040550231933593,9,0.05800166621698929,0.00010066480576535266,6,7,0.8683025994409472,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00002_2_edge_embed_size=9,eta=0.0580,learning_rate=0.0001,max_depth=6,node_embed_size=7,weight=0.8683_2022-12-09_20-39-53"
198,0.4664060297850015,0.4530047018431501,2854.074858427048,True,False,,,1,0397c_00000,cd08eb377ee4487fa73dbf57426193a0,2022-12-09_20-46-30,1670629590,2854.074858427048,2328,arch,192.168.1.113,2854.074858427048,0,1,0.0053870677947998,12,0.035229876417510915,0.00013469615999846222,5,11,0.854966247787871,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00000_0_edge_embed_size=12,eta=0.0352,learning_rate=0.0001,max_depth=5,node_embed_size=11,weight=0.8550_2022-12-09_19-58-50"
199,0.4499652131989196,0.3000369345700607,2450.4631536006927,True,False,,,1,0397c_00001,36357aee17a94a0a9e492257044186ec,2022-12-09_20-39-53,1670629193,2450.4631536006927,2363,arch,192.168.1.113,2450.4631536006927,0,1,0.0040550231933593,15,0.022240794051158804,0.0002515884228566237,7,4,0.8619270966350664,"/home/italo/ray_results/nenn_xgb_tune/training_function_0397c_00001_1_edge_embed_size=15,eta=0.0222,learning_rate=0.0003,max_depth=7,node_embed_size=4,weight=0.8619_2022-12-09_19-58-56"
